system,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,251,295,252,296,253,297,254,298,255,299,256,257,258,259,260,261,262,263,264,265,266,267,300,268,269
SNUMedinfo11,0.0542,0.0015,0.0000,0.0689,0.0006,0.0875,0.0725,0.0617,0.0020,0.1583,0.0666,0.0352,0.0145,0.0958,0.2932,0.2488,0.0713,0.6304,0.0781,0.0006,0,0.0002,0.1434,0.0258,0.1091,0.0873,0.1245,0.1664,0.1962,0.2024,0.1000,0.1338,0.2007,0,1,0.0445,0.2504,0.0614,0.0091,0.0392,0.0535,0,0.0001,0.0402,0.0697,0.0901,0.3941,0.0029,0.2026,0.0878
SNUMedinfo12,0.0027,0.0019,0.0016,0.0431,0.0044,0.1848,0.0869,0.0070,0,0.1883,0.0297,0.0790,0.0167,0.0450,0.2423,0.2010,0.0517,0.5406,0.0757,0.0032,0,0.0002,0.1392,0.0644,0.0670,0.1820,0.0461,0.1998,0.2264,0.1649,0,0.2234,0.1788,0,0,0.0320,0.1587,0.0840,0.0196,0.0408,0.0278,0,0.0002,0.0120,0.1679,0.1072,0.1221,0.0057,0.0557,0.0120
SNUMedinfo13,0.0038,0.0017,0.0016,0.0190,0.0121,0.1070,0.0621,0.0058,0,0.0281,0.0445,0.0214,0.0061,0.0344,0.1226,0.0751,0.0605,0.2974,0.0831,0.0032,0,0.0004,0.1417,0.0479,0.0843,0.1698,0.0327,0.0900,0.0747,0.1912,0,0.0878,0.1133,0,0,0.0110,0.0734,0.0335,0.0091,0.0174,0.0063,0,0.0002,0.0157,0.0925,0.0916,0.0850,0.0093,0.0279,0.0190
Terran,0.0022,0.0105,0.0413,0.0545,0.0070,0.3529,0.1004,0.0059,0,0.0725,0.0151,0.0821,0,0.0292,0.2085,0.1949,0.0882,0.3560,0.1387,0.0059,0,0.0021,0.1599,0.1338,0.0743,0.0891,0.0376,0.3932,0.2630,0.3100,0,0.0602,0.3086,0.0055,0,0.0286,0.0725,0.1230,0.0295,0.0102,0.0159,0.0049,0.0020,0.0337,0.1197,0.1956,0.1132,0.0008,0.0699,0.0021
udel_itu,0.0197,0,0.0012,0.1218,0.0069,0.0089,0.0120,0.0016,0.0588,0.0001,0.0022,0.0190,0,0.0138,0.0556,0.0802,0.0019,0.0943,0.0296,0.0016,0,0.0588,0.0176,0.0027,0.0031,0.0664,0.2452,0.1165,0.0397,0.1603,0,0.0505,0.0303,0,0,0,0.1346,0.1063,0.0091,0.0095,0,0.0015,0.0396,0,0.0525,0.0680,0.0257,0,0.0899,0.1833
udel_itub,0.0052,0,0.0000,0.1315,0.0047,0.0086,0.0139,0.0012,0.0909,0.0001,0.0069,0.0148,0,0.0103,0.0164,0.0679,0.0007,0.0898,0.0238,0.0004,0,0.0437,0.0199,0.0007,0.0027,0.0502,0.1544,0.2161,0.0344,0.1628,0,0.0445,0.0588,0,0,0,0.0473,0.1101,0.0039,0.0128,0,0.0015,0.0059,0.0011,0.0500,0.0879,0.0674,0,0.1081,0.1750
UDInfoWebAX,0.0022,0.0016,0.0857,0.1496,0.0747,0.3600,0.2589,0.0059,0,0.1774,0.0355,0.1660,0.0079,0.0777,0.2050,0.2812,0.3165,0.3689,0.1824,0.1215,0,0.0065,0.1887,0.0741,0.0035,0.2083,0.0595,0.0521,0.0491,0.3614,0,0.0275,0.4961,0.0001,0,0.3671,0.1775,0.0036,0.0050,0.0344,0.0833,0.1568,0.0004,0.2130,0.0080,0.1650,0.1956,0.0404,0.0121,0.0084
UDInfoWebENT,0.0023,0.0018,0.1561,0.1470,0.0217,0.4213,0.2812,0.0150,0,0.1720,0.0767,0.1416,0.1000,0.0661,0.1416,0.2266,0.2498,0.3899,0.1525,0.0638,0,0.0559,0.1892,0.1151,0.0032,0.1504,0.1021,0.0112,0.0232,0.3523,0,0.0239,0.3427,0.0001,0,0.2070,0.1314,0.0033,0.0066,0.0471,0.0476,0.0616,0.0004,0.2115,0.0086,0.1680,0.1971,0.0284,0.0112,0.0060
UDInfoWebLES,0.0022,0.0016,0.0532,0.1456,0.0709,0.4918,0.3146,0.0059,0,0.1561,0.0549,0.1648,0.0079,0.1008,0.2481,0.2725,0.2885,0.4008,0.1642,0.1200,0,0.0559,0.1888,0.0830,0.0035,0.1748,0.0786,0.0486,0.0956,0.3688,0,0.0310,0.5064,0.0001,0,0.5329,0.1496,0.0036,0.0050,0.0855,0.3333,0.3086,0.0004,0.0523,0.0080,0.1727,0.1890,0.1011,0.0096,0.0032
uogTrDuax,0.0110,0.0079,0.0394,0.1103,0.0093,0.3868,0.0697,0.0418,0.0065,0.1160,0.0505,0.0514,0.0007,0.0200,0.2503,0.3499,0.2324,0.4840,0.1803,0.1212,0,0.0405,0.3402,0.3053,0.1029,0.0803,0.1174,0.0887,0.2156,0.4124,0.0500,0.1968,0.3505,0,0.0118,0.0074,0.2226,0.0347,0.0047,0.0521,0.0125,0.0024,0.0486,0.1199,0.0775,0.2565,0.4196,0.2803,0.3036,0.0470
uogTrDwl,0.0209,0.0245,0.0161,0.1405,0.0097,0.3140,0.1227,0.0483,0.0032,0.1940,0.0660,0.1435,0.0066,0.0990,0.3653,0.4003,0.1241,0.6169,0.2324,0.0223,0,0.0817,0.3006,0.1256,0.0986,0.3014,0.2373,0.1386,0.2595,0.3513,0.0714,0.1294,0.3451,0.0017,0.0116,0.0154,0.2639,0.1478,0.0281,0.0832,0.0130,0.0021,0.1407,0.0457,0.0273,0.3064,0.6252,0.0028,0.5233,0.0870
uogTrIwa,0.0100,0.0162,0.0553,0.1295,0.0093,0.3574,0.1555,0.0385,0.0034,0.1228,0.0302,0.1554,0.0018,0.0597,0.2907,0.3696,0.2008,0.6247,0.1760,0.1502,0,0.0640,0.3674,0.0580,0.0663,0.2265,0.0829,0.0720,0.1316,0.3744,0.0109,0.1958,0.1371,0.0000,0.0074,0.0117,0.1769,0.1162,0.0178,0.0887,0.0315,0.0029,0.0444,0.0414,0.0390,0.3129,0.6209,0,0.3032,0.0308
utbase,0.0980,0.1120,0.0110,0.0493,0.0020,0.0920,0.0059,0.0203,0.0044,0.0009,0.0055,0.0239,0,0.0040,0.0923,0.1518,0.0165,0.2072,0.1087,0.0240,0,0.0183,0.0265,0.0020,0.0504,0.0939,0.2850,0.2145,0.0460,0.1366,0.0042,0.0851,0.0790,0,0,0.0001,0.1366,0.0130,0.0001,0.0377,0.0001,0,0.0200,0,0.0127,0.1552,0.3419,0.0155,0.2129,0.2423
utexact,0.1004,0.1120,0.0091,0.0493,0.0023,0.0809,0.0059,0.0203,0.0039,0.0008,0.0053,0.0210,0,0.0040,0.0923,0.1613,0.0165,0.2072,0.1324,0.0300,0,0.0259,0.0265,0.0020,0.0361,0.0939,0.4023,0.2145,0.0493,0.1275,0.0037,0.0550,0.0790,0,0,0.0001,0.1435,0.0122,0.0001,0.0175,0.0001,0,0.0181,0,0.0035,0.1427,0.3056,0.0559,0.1787,0.2733
webisWt14axAll,0.0090,0,0,0.0884,0,0.0022,0.0509,0.1119,0,0.1465,0.0500,0.0076,0,0.0995,0.0574,0.1169,0.1421,0.4670,0.0314,0,0,0,0.0319,0.0532,0.0974,0.0954,0.0081,0.0110,0.2845,0.0783,1,0.1087,0.2904,0,0.0417,0.0642,0.1578,0.0228,0,0.0281,0.1944,0,0,0.0212,0.0386,0.0560,0.1522,0,0.2968,0
webisWt14axMax,0.0090,0,0,0.0363,0,0.0017,0.0866,0.0737,0,0.1139,0.0377,0.0909,0,0.1077,0.0936,0.1491,0.1851,0.5845,0.0344,0,0,0,0.0325,0.1273,0.0991,0.0746,0.0088,0.0098,0.1400,0.0683,1,0.0310,0.2180,0,0.0556,0.0724,0.1849,0.0341,0,0.0045,0.0511,0,0,0.0302,0.0378,0.0776,0.1334,0,0.2704,0
webisWt14axSyn,0.0090,0,0,0.0363,0,0.0017,0.0866,0.0737,0,0.1139,0.0377,0.0909,0,0.1077,0.0936,0.1491,0.1851,0.5845,0.0344,0,0,0,0.0325,0.1273,0.0991,0.0746,0.0088,0.0098,0.1400,0.0683,1,0.0310,0.2180,0,0.0556,0.0724,0.1849,0.0341,0,0.0045,0.0511,0,0,0.0302,0.0378,0.0776,0.1334,0,0.2704,0
wistud.runA,0.0052,0.0055,0.1569,0.0564,0.0075,0.1155,0.0808,0.0026,0,0.1913,0.0067,0.0557,0,0.0327,0.2057,0.1588,0.0805,0.3421,0.0666,0.0615,0,0.0004,0.1156,0.1783,0.0898,0.1177,0.0146,0.1445,0.1420,0.2904,0,0.0647,0.3220,0.0123,0,0.0485,0.0727,0.0583,0.1099,0.0349,0.3333,0.0067,0.0011,0.1583,0.0556,0.1614,0.0723,0.0136,0.0225,0.0005
wistud.runB,0.0028,0.0019,0.1804,0.0820,0.0066,0.2971,0.0353,0.0101,0,0.2040,0.0001,0.0987,0,0.0186,0.2714,0.1897,0.1952,0.2134,0.0697,0.0900,0,0.0070,0.1305,0.0502,0.1131,0.1300,0.0140,0.0305,0.0425,0.3212,0,0.0273,0.3365,0.0009,0,0.0398,0.0837,0.0142,0.0769,0.0260,0.0208,0.0667,0.0003,0.1349,0.0301,0.2034,0.1019,0.0579,0.0231,0.0006
